slug,cut,file,title,visibility,tags,description
cathodic-protection-pipeline,9:16 Short,demos/cathodic-protection-pipelinev.mp4,"Pipeline CP design, answered in chat #Shorts | Deckhand",unlisted,"subsea,pipeline,pipeline integrity,DNV,API 579,cathodic protection,Deckhand,AceEngineer,digitalmodel,Shorts","Pipeline CP design, answered in chat

Watch Deckhand run a real Cathodic Protection calculation from a plain-English chat and send back a code-checked report you can keep — no spreadsheets, no setup.

Try it on Deckhand: https://t.me/the_deckhand_bot
More demos: https://www.aceengineer.com/demos/deckhand/

A product of AceEngineer · powered by digitalmodel & worldenergydata. Demo uses synthetic inputs.
#Shorts"
dynacard-diagnostics,16:9,demos/dynacard-diagnostics.mp4,"Read a dynamometer card, find the fault | Deckhand",unlisted,"petroleum engineering,production,reservoir,artificial lift,well economics,Deckhand,AceEngineer,digitalmodel","Read a dynamometer card, find the fault

Watch Deckhand run a real Wells & Subsurface calculation from a plain-English chat and send back a code-checked report you can keep — no spreadsheets, no setup.

Try it on Deckhand: https://t.me/the_deckhand_bot
More demos: https://www.aceengineer.com/demos/deckhand/

A product of AceEngineer · powered by digitalmodel & worldenergydata. Demo uses synthetic inputs."
dynacard-diagnostics,9:16 Short,demos/dynacard-diagnosticsv.mp4,"Read a dynamometer card, find the fault #Shorts | Deckhand",unlisted,"petroleum engineering,production,reservoir,artificial lift,well economics,Deckhand,AceEngineer,digitalmodel,Shorts","Read a dynamometer card, find the fault

Watch Deckhand run a real Wells & Subsurface calculation from a plain-English chat and send back a code-checked report you can keep — no spreadsheets, no setup.

Try it on Deckhand: https://t.me/the_deckhand_bot
More demos: https://www.aceengineer.com/demos/deckhand/

A product of AceEngineer · powered by digitalmodel & worldenergydata. Demo uses synthetic inputs.
#Shorts"
fdas-field-npv,16:9,demos/fdas-field-npv.mp4,"Field economics, answered in chat | Deckhand",unlisted,"petroleum engineering,production,reservoir,artificial lift,well economics,Deckhand,AceEngineer,digitalmodel","Field economics, answered in chat

Watch Deckhand run a real Wells & Subsurface calculation from a plain-English chat and send back a code-checked report you can keep — no spreadsheets, no setup.

Try it on Deckhand: https://t.me/the_deckhand_bot
More demos: https://www.aceengineer.com/demos/deckhand/

A product of AceEngineer · powered by digitalmodel & worldenergydata. Demo uses synthetic inputs."
fdas-field-npv,9:16 Short,demos/fdas-field-npvv.mp4,"Field economics, answered in chat #Shorts | Deckhand",unlisted,"petroleum engineering,production,reservoir,artificial lift,well economics,Deckhand,AceEngineer,digitalmodel,Shorts","Field economics, answered in chat

Watch Deckhand run a real Wells & Subsurface calculation from a plain-English chat and send back a code-checked report you can keep — no spreadsheets, no setup.

Try it on Deckhand: https://t.me/the_deckhand_bot
More demos: https://www.aceengineer.com/demos/deckhand/

A product of AceEngineer · powered by digitalmodel & worldenergydata. Demo uses synthetic inputs.
#Shorts"
fpso-spread-mooring,16:9,demos/fpso-spread-mooring.mp4,"Spread-mooring SF check, answered in chat | Deckhand",unlisted,"offshore,mooring,FPSO,naval architecture,hydrodynamics,Deckhand,AceEngineer,digitalmodel","Spread-mooring SF check, answered in chat

Watch Deckhand run a real Floating & Marine Systems calculation from a plain-English chat and send back a code-checked report you can keep — no spreadsheets, no setup.

Try it on Deckhand: https://t.me/the_deckhand_bot
More demos: https://www.aceengineer.com/demos/deckhand/

A product of AceEngineer · powered by digitalmodel & worldenergydata. Demo uses synthetic inputs."
fpso-spread-mooring,9:16 Short,demos/fpso-spread-mooringv.mp4,"Spread-mooring SF check, answered in chat #Shorts | Deckhand",unlisted,"offshore,mooring,FPSO,naval architecture,hydrodynamics,Deckhand,AceEngineer,digitalmodel,Shorts","Spread-mooring SF check, answered in chat

Watch Deckhand run a real Floating & Marine Systems calculation from a plain-English chat and send back a code-checked report you can keep — no spreadsheets, no setup.

Try it on Deckhand: https://t.me/the_deckhand_bot
More demos: https://www.aceengineer.com/demos/deckhand/

A product of AceEngineer · powered by digitalmodel & worldenergydata. Demo uses synthetic inputs.
#Shorts"
free-span-f105,16:9,demos/free-span-f105.mp4,"Free-span screening, answered in chat | Deckhand",unlisted,"subsea,pipeline,pipeline integrity,DNV,API 579,cathodic protection,Deckhand,AceEngineer,digitalmodel","Free-span screening, answered in chat

Watch Deckhand run a real Subsea, Pipelines & Integrity calculation from a plain-English chat and send back a code-checked report you can keep — no spreadsheets, no setup.

Try it on Deckhand: https://t.me/the_deckhand_bot
More demos: https://www.aceengineer.com/demos/deckhand/

A product of AceEngineer · powered by digitalmodel & worldenergydata. Demo uses synthetic inputs."
free-span-f105,9:16 Short,demos/free-span-f105v.mp4,"Free-span screening, answered in chat #Shorts | Deckhand",unlisted,"subsea,pipeline,pipeline integrity,DNV,API 579,cathodic protection,Deckhand,AceEngineer,digitalmodel,Shorts","Free-span screening, answered in chat

Watch Deckhand run a real Subsea, Pipelines & Integrity calculation from a plain-English chat and send back a code-checked report you can keep — no spreadsheets, no setup.

Try it on Deckhand: https://t.me/the_deckhand_bot
More demos: https://www.aceengineer.com/demos/deckhand/

A product of AceEngineer · powered by digitalmodel & worldenergydata. Demo uses synthetic inputs.
#Shorts"
hull-seakeeping,16:9,demos/hull-seakeeping.mp4,"Hull seakeeping, answered in chat | Deckhand",unlisted,"offshore,mooring,FPSO,naval architecture,hydrodynamics,Deckhand,AceEngineer,digitalmodel","Hull seakeeping, answered in chat

Watch Deckhand run a real Floating & Marine Systems calculation from a plain-English chat and send back a code-checked report you can keep — no spreadsheets, no setup.

Try it on Deckhand: https://t.me/the_deckhand_bot
More demos: https://www.aceengineer.com/demos/deckhand/

A product of AceEngineer · powered by digitalmodel & worldenergydata. Demo uses synthetic inputs."
hull-seakeeping,9:16 Short,demos/hull-seakeepingv.mp4,"Hull seakeeping, answered in chat #Shorts | Deckhand",unlisted,"offshore,mooring,FPSO,naval architecture,hydrodynamics,Deckhand,AceEngineer,digitalmodel,Shorts","Hull seakeeping, answered in chat

Watch Deckhand run a real Floating & Marine Systems calculation from a plain-English chat and send back a code-checked report you can keep — no spreadsheets, no setup.

Try it on Deckhand: https://t.me/the_deckhand_bot
More demos: https://www.aceengineer.com/demos/deckhand/

A product of AceEngineer · powered by digitalmodel & worldenergydata. Demo uses synthetic inputs.
#Shorts"
mooring-fatigue,16:9,demos/mooring-fatigue.mp4,"Mooring-line fatigue, answered in chat | Deckhand",unlisted,"offshore,mooring,FPSO,naval architecture,hydrodynamics,Deckhand,AceEngineer,digitalmodel","Mooring-line fatigue, answered in chat

Watch Deckhand run a real Floating & Marine Systems calculation from a plain-English chat and send back a code-checked report you can keep — no spreadsheets, no setup.

Try it on Deckhand: https://t.me/the_deckhand_bot
More demos: https://www.aceengineer.com/demos/deckhand/

A product of AceEngineer · powered by digitalmodel & worldenergydata. Demo uses synthetic inputs."
mooring-fatigue,9:16 Short,demos/mooring-fatiguev.mp4,"Mooring-line fatigue, answered in chat #Shorts | Deckhand",unlisted,"offshore,mooring,FPSO,naval architecture,hydrodynamics,Deckhand,AceEngineer,digitalmodel,Shorts","Mooring-line fatigue, answered in chat

Watch Deckhand run a real Floating & Marine Systems calculation from a plain-English chat and send back a code-checked report you can keep — no spreadsheets, no setup.

Try it on Deckhand: https://t.me/the_deckhand_bot
More demos: https://www.aceengineer.com/demos/deckhand/

A product of AceEngineer · powered by digitalmodel & worldenergydata. Demo uses synthetic inputs.
#Shorts"
nodal-analysis,16:9,demos/nodal-analysis.mp4,Where does this well actually flow? | Deckhand,unlisted,"petroleum engineering,production,reservoir,artificial lift,well economics,Deckhand,AceEngineer,digitalmodel","Where does this well actually flow?

Watch Deckhand run a real Wells & Subsurface calculation from a plain-English chat and send back a code-checked report you can keep — no spreadsheets, no setup.

Try it on Deckhand: https://t.me/the_deckhand_bot
More demos: https://www.aceengineer.com/demos/deckhand/

A product of AceEngineer · powered by digitalmodel & worldenergydata. Demo uses synthetic inputs."
nodal-analysis,9:16 Short,demos/nodal-analysisv.mp4,Where does this well actually flow? #Shorts | Deckhand,unlisted,"petroleum engineering,production,reservoir,artificial lift,well economics,Deckhand,AceEngineer,digitalmodel,Shorts","Where does this well actually flow?

Watch Deckhand run a real Wells & Subsurface calculation from a plain-English chat and send back a code-checked report you can keep — no spreadsheets, no setup.

Try it on Deckhand: https://t.me/the_deckhand_bot
More demos: https://www.aceengineer.com/demos/deckhand/

A product of AceEngineer · powered by digitalmodel & worldenergydata. Demo uses synthetic inputs.
#Shorts"
ocimf-tanker-loads,16:9,demos/ocimf-tanker-loads.mp4,"Wind & current loads on a tanker, answered in chat | Deckhand",unlisted,"offshore,mooring,FPSO,naval architecture,hydrodynamics,Deckhand,AceEngineer,digitalmodel","Wind & current loads on a tanker, answered in chat

Watch Deckhand run a real Floating & Marine Systems calculation from a plain-English chat and send back a code-checked report you can keep — no spreadsheets, no setup.

Try it on Deckhand: https://t.me/the_deckhand_bot
More demos: https://www.aceengineer.com/demos/deckhand/

A product of AceEngineer · powered by digitalmodel & worldenergydata. Demo uses synthetic inputs."
ocimf-tanker-loads,9:16 Short,demos/ocimf-tanker-loadsv.mp4,"Wind & current loads on a tanker, answered in chat #Shorts | Deckhand",unlisted,"offshore,mooring,FPSO,naval architecture,hydrodynamics,Deckhand,AceEngineer,digitalmodel,Shorts","Wind & current loads on a tanker, answered in chat

Watch Deckhand run a real Floating & Marine Systems calculation from a plain-English chat and send back a code-checked report you can keep — no spreadsheets, no setup.

Try it on Deckhand: https://t.me/the_deckhand_bot
More demos: https://www.aceengineer.com/demos/deckhand/

A product of AceEngineer · powered by digitalmodel & worldenergydata. Demo uses synthetic inputs.
#Shorts"
on-bottom-stability-f109,16:9,demos/on-bottom-stability-f109.mp4,"On-bottom stability, answered in chat | Deckhand",unlisted,"subsea,pipeline,pipeline integrity,DNV,API 579,cathodic protection,Deckhand,AceEngineer,digitalmodel","On-bottom stability, answered in chat

Watch Deckhand run a real Subsea, Pipelines & Integrity calculation from a plain-English chat and send back a code-checked report you can keep — no spreadsheets, no setup.

Try it on Deckhand: https://t.me/the_deckhand_bot
More demos: https://www.aceengineer.com/demos/deckhand/

A product of AceEngineer · powered by digitalmodel & worldenergydata. Demo uses synthetic inputs."
on-bottom-stability-f109,9:16 Short,demos/on-bottom-stability-f109v.mp4,"On-bottom stability, answered in chat #Shorts | Deckhand",unlisted,"subsea,pipeline,pipeline integrity,DNV,API 579,cathodic protection,Deckhand,AceEngineer,digitalmodel,Shorts","On-bottom stability, answered in chat

Watch Deckhand run a real Subsea, Pipelines & Integrity calculation from a plain-English chat and send back a code-checked report you can keep — no spreadsheets, no setup.

Try it on Deckhand: https://t.me/the_deckhand_bot
More demos: https://www.aceengineer.com/demos/deckhand/

A product of AceEngineer · powered by digitalmodel & worldenergydata. Demo uses synthetic inputs.
#Shorts"
production-forecast-arps,16:9,demos/production-forecast-arps.mp4,"Decline forecast for a well, answered in chat | Deckhand",unlisted,"petroleum engineering,production,reservoir,artificial lift,well economics,Deckhand,AceEngineer,digitalmodel","Decline forecast for a well, answered in chat

Watch Deckhand run a real Wells & Subsurface calculation from a plain-English chat and send back a code-checked report you can keep — no spreadsheets, no setup.

Try it on Deckhand: https://t.me/the_deckhand_bot
More demos: https://www.aceengineer.com/demos/deckhand/

A product of AceEngineer · powered by digitalmodel & worldenergydata. Demo uses synthetic inputs."
production-forecast-arps,9:16 Short,demos/production-forecast-arpsv.mp4,"Decline forecast for a well, answered in chat #Shorts | Deckhand",unlisted,"petroleum engineering,production,reservoir,artificial lift,well economics,Deckhand,AceEngineer,digitalmodel,Shorts","Decline forecast for a well, answered in chat

Watch Deckhand run a real Wells & Subsurface calculation from a plain-English chat and send back a code-checked report you can keep — no spreadsheets, no setup.

Try it on Deckhand: https://t.me/the_deckhand_bot
More demos: https://www.aceengineer.com/demos/deckhand/

A product of AceEngineer · powered by digitalmodel & worldenergydata. Demo uses synthetic inputs.
#Shorts"
wall-thickness-quickcheck,16:9,demos/wall-thickness-quickcheck.mp4,"Pipeline wall thickness, answered in chat | Deckhand",unlisted,"subsea,pipeline,pipeline integrity,DNV,API 579,cathodic protection,Deckhand,AceEngineer,digitalmodel","Pipeline wall thickness, answered in chat

Watch Deckhand run a real Subsea, Pipelines & Integrity calculation from a plain-English chat and send back a code-checked report you can keep — no spreadsheets, no setup.

Try it on Deckhand: https://t.me/the_deckhand_bot
More demos: https://www.aceengineer.com/demos/deckhand/

A product of AceEngineer · powered by digitalmodel & worldenergydata. Demo uses synthetic inputs."
wall-thickness-quickcheck,9:16 Short,demos/wall-thickness-quickcheckv.mp4,"Pipeline wall thickness, answered in chat #Shorts | Deckhand",unlisted,"subsea,pipeline,pipeline integrity,DNV,API 579,cathodic protection,Deckhand,AceEngineer,digitalmodel,Shorts","Pipeline wall thickness, answered in chat

Watch Deckhand run a real Subsea, Pipelines & Integrity calculation from a plain-English chat and send back a code-checked report you can keep — no spreadsheets, no setup.

Try it on Deckhand: https://t.me/the_deckhand_bot
More demos: https://www.aceengineer.com/demos/deckhand/

A product of AceEngineer · powered by digitalmodel & worldenergydata. Demo uses synthetic inputs.
#Shorts"
